CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C12_BHI_50DMSO_25MeOH.raw
Data points: 2903
Time(min),Relative Abundance
0.003750117,0
0.008348015,0
0.011493765,0
0.013816666,0
0.016141648,0
0.018464564,0
0.020787449,0
0.023112447,0
0.025435348,0
0.027758232,0
0.03008323,0
0.032406115,0
0.034731097,0
0.037053982,0
0.049324798,0
0.053564297,0
0.055887217,0
0.058212184,0
0.0605351,0
0.062858001,0
0.065182983,0
0.067505883,0
0.069828784,0
0.07215375,0
0.074476631,0
0.076801649,0
0.079124549,0
0.081447434,0
0.083772416,0
0.086095332,0
0.088418233,0
0.093257784,0
0.095582767,0
0.097905667,0
0.10022857,0
0.10255355,0
0.10487645,0
0.10720143,0
0.10952432,0
0.11184722,0
0.11417222,0
0.11649512,0
0.11881802,0
0.121143,0
0.1234659,0
0.12579087,0
0.12811377,0
0.13043668,0
0.13276166,0
0.13508456,0
0.13740746,0
0.13973245,0
0.14205535,0
0.14438031,0
0.14670321,0
0.14902611,0
0.15135112,0
0.15367402,0
0.15599691,0
0.15832192,0
0.1606448,0
0.16296978,0
0.16529267,0
0.16761558,0
0.16994057,0
0.17226345,0
0.1771051,0
0.17942802,0
0.18175298,0
0.18407587,0
0.18639878,0
0.18872377,0
0.19104668,0
0.19336957,0
0.19569456,0
0.19801747,0
0.20034243,0
0.20266533,0
0.20498825,0
0.2073132,0
0.21281108,0
0.22170895,0
0.2259506,0
0.2282735,0
0.2305964,0
0.23292138,0
0.23524428,0
0.23756925,0
0.23989215,0
0.24221505,0
0.24454005,0
0.24686295,0
0.24918583,0
0.25151081,0
0.25383373,0
0.2561587,0
0.26099617,0
0.26331908,0
0.26564408,0
0.26796697,0
0.27029197,0
0.27261485,0
0.27493776,0
0.27726271,0
0.27958565,0
0.28190853,0
0.28423351,0
0.28655641,0
0.2888814,0
0.2912043,0
0.29352718,0
0.2958522,0
0.29817508,0
0.30049798,0
0.30282298,0
0.30514587,0
0.30747085,0
0.30979375,0
0.31211663,0
0.31444163,0
0.31676453,0
0.31908745,0
0.3214124,0
0.32373533,0
0.32606031,0
0.3283832,0
0.3307061,0
0.3330311,0
0.335354,0
0.3376769,0
0.34251861,0
0.34484142,0
0.34716641,0
0.34948928,0
0.35181427,0
0.35413717,0
0.3564601,0
0.35878508,0
0.36110796,0
0.36343086,0
0.36575583,0
0.37415163,0
0.38792651,0
0.4069097,0
0.42502418,0
0.44418655,0
0.4621114,0
0.4786613,0
0.49646948,0
0.51354436,0
0.5286901,0
0.54767746,0
0.56559402,0
0.5847168,0
0.59917922,0
0.61660198,0
0.63330605,0
0.65069133,0
0.66412042,0
0.68314318,0
0.70432637,0
0.71446172,0
0.73055326,0
0.74707192,0
0.76347805,0
0.78222583,0
0.80103195,0
0.81977765,0
0.83570671,0
0.8559003,0
0.87347518,0
0.89266463,0
0.911727,0
0.93083103,0
0.94998088,0
0.96915785,0
0.98836605,0
1.0074763,0
1.0273866,0
1.0449323,0
1.0635114,0
1.0827383,0
1.1018319,0
1.1192235,0
1.1385358,0
1.1577877,0
1.1769272,0
1.1978229,0
1.2160603,0
1.2331372,0
1.2523892,0
1.2742349,0
1.293416,0
1.3127283,0
1.3320844,0
1.3512656,0
1.37318,0
1.3923674,0
1.4116235,0
1.4307942,0
1.4522794,0
1.4713126,0
1.4863709,0
1.5033187,0
1.5197914,0
1.5366893,0
1.5488371,0
1.5625516,0
1.5742453,0
1.5891097,0
1.6047492,0
1.6154137,0
1.6298136,0
1.6446781,0
1.6611259,0
1.6751862,0
1.6900007,0
1.7044839,0
1.7195046,0
1.7343358,0
1.7503982,0
1.7654606,0
1.7842542,0
1.7979541,0
1.8109748,0
1.8266664,0
1.8385225,0
1.8523329,0
1.8672182,0
1.8846681,0
1.897443,0
1.9119137,0
1.9275844,0
1.9399052,0
1.9547259,0
1.9712487,0
1.9880111,0
2.0035985,0
2.0226629,0
2.0370899,0
2.0536731,0
2.071698,0
2.0853062,0
2.1027061,0
2.1249164,0
2.1443079,0
2.1637432,0
2.1795576,0
2.1943659,0
2.2133199,0
2.2306739,0
2.2487384,0
2.2661112,0
2.2875131,0
2.3062255,0
2.3258066,0
2.3452065,0
2.3663792,0
2.3836041,0
2.4021498,0
2.4215664,0
2.4436495,0
2.4589286,0
2.4783201,0
2.4982054,0
2.5174761,0
2.5380989,0
2.5576362,0
2.5771632,0
2.5969005,0
2.616465,0
2.6361003,0
2.6557522,0
2.6753708,0
2.6976248,0
2.7173122,0
2.7370683,0
2.7566931,0
2.7790951,0
2.7984762,0
2.8180844,0
2.8375572,0
2.8597028,0
2.8790173,0
2.8970776,0
2.9146504,0
2.9322878,0
2.9540689,0
2.973602,0
2.9931853,0
3.0127956,0
3.0352537,0
3.0549369,0
3.0731993,0
3.0931283,0
3.0978678,0
3.1179073,0
3.1261635,0
3.1460008,0
3.1655757,0
3.1850318,0
3.2072087,0
3.226819,0
3.2465189,0
3.2661937,0
3.2777978,0
3.2893873,0
3.2975352,0
3.3058581,0
3.3094413,0
3.312558,0
3.3148809,0
3.3172038,0
3.3219642,0
3.329085,0
3.3328162,0
3.3361557,0
3.3408953,0
3.3445619,0
3.3479057,0
3.3560619,0
3.3594994,0
3.3627743,0
3.3658993,0
3.3682222,0
3.3765263,0
3.3798096,0
3.3831117,0
3.3912637,0
3.399422,0
3.4040615,0
3.4110573,0
3.4145614,0
3.4192073,0
3.4225551,0
3.4263426,0
3.4292885,0
3.4316113,0
3.4339363,0
3.4362592,0
3.4385821,0
3.4467717,0
3.4502821,0
3.4536132,0
3.4618674,0
3.4689194,0
3.4736611,0
3.4876485,0
3.4947067,0
3.5087795,0
3.5162253,0
3.5268357,0
3.5409105,0
3.5491043,0
3.5597229,0
3.5713603,0
3.579502,0
3.5866061,0
3.5946789,0
3.598379,0
3.6013435,0
3.6036685,0
3.6059914,0
3.6142059,0
3.6257579,0
3.6328683,0
3.6436244,0
3.6518202,0
3.6553556,0
3.6584493,0
3.6607743,0
3.6630972,0
3.6654201,0
3.6677451,0
3.670068,0
3.6785242,0
3.6825012,0
3.68572,0
3.6977157,0
3.7014365,0
3.7048386,0
3.7096594,0
3.7135823,0
3.7166926,0
3.7249093,0
3.7320259,0
3.7391383,0
3.7461799,0
3.762482,0
3.7733464,0
3.7767527,0
3.7798006,0
3.7831797,0
3.7862317,0
3.7908693,0
3.7941546,0
3.7972504,0
3.8020067,0
3.8052629,0
3.8123608,0
3.8264127,0
3.8403709,0
3.8513188,0
3.8595625,0
3.870027,0
3.8895706,0
3.9056809,0
3.9254516,0
3.9442806,0
3.9523535,0
3.9594576,0
3.9675326,0
3.9746221,0
3.9780658,0
3.9897699,0
3.9931136,0
3.9964011,0
3.9996157,0
4.002949,0
4.0061386,0
4.0084614,0
4.0167551,0
4.0202488,0
4.0234988,0
4.028253,0
4.031778,0
4.0351383,0
4.0399071,0
4.0434487,0
4.0468653,0
4.0491882,0
4.0515132,0
4.0538361,0
4.0620173,0
4.0655756,0
4.0687631,0
4.0734693,0
4.0769506,0
4.0801276,0
4.0824505,0
4.0847734,0
4.0870984,0
4.0894213,0
4.0969108,0
4.1015503,0
4.1050774,0
4.1083753,0
4.1115649,0
4.1162044,0
4.1197815,0
4.1229919,0
4.1253148,0
4.1300231,0
4.138146,0
4.148773,0
4.1523146,0
4.1606208,0
4.1677666,0
4.1748228,0
4.182329,0
4.1893769,0
4.1927164,0
4.1997997,0
4.2030184,0
4.2063371,0
4.2096684,0
4.2128934,0
4.2161995,0
4.2209391,0
4.2243058,0
4.2276432,0
4.2309495,0
4.2341307,0
4.2364557,0
4.2387786,0
4.2411015,0
4.2434264,0
4.2457494,0
4.2480743,0
4.2503972,0
4.2527202,0
4.2550451,0
4.2588076,0
4.2611305,0
4.265845,0
4.2739346,0
4.2772325,0
4.280522,0
4.2885928,0
4.2956136,0
4.3027531,0
4.3073927,0
4.3109072,0
4.3140697,0
4.3187426,0
4.3258842,0
4.3306738,0
4.3343321,0
4.3376592,0
4.3451841,0
4.3488695,0
4.3519632,0
4.3542882,0
4.3566111,0
4.358934,0
4.3612589,0
4.3661006,0
4.373261,0
4.3804213,0
4.3943733,0
4.4015295,0
4.4047837,0
4.4190169,0
4.4296814,0
4.4405959,0
4.4566645,0
4.4727748,0
4.4888039,0
4.5003455,0
4.5165954,0
4.5199391,0
4.5230557,0
4.5312453,0
4.5344161,0
4.5414098,0
4.5484431,0
4.5516805,0
4.5547555,0
4.5594763,0
4.5665888,0
4.5698242,0
4.5730741,0
4.5813116,0
4.5897011,0
4.6043051,0
4.6125051,0
4.6288237,0
4.6450069,0
4.6568652,0
4.6675526,0
4.6721922,0
4.6866983,0
4.6938753,0
4.707917,0
4.7185085,0
4.7256105,0
4.7338646,0
4.7456813,0
4.7528645,0
4.7560541,0
4.7635811,0
4.7667623,0
4.7751061,0
4.7822143,0
4.7868559,0
4.795283,0
4.8035037,0
4.8150182,0
4.8232307,0
4.8303307,0
4.8337515,0
4.8368702,0
4.8442327,0
4.847543,0
4.8509014,0
4.8541534,0
4.8574617,0
4.8622992,0
4.8659408,0
4.8691533,0
4.8714762,0
4.8737991,0
4.8761241,0
4.878447,0
4.8807699,0
4.8830949,0
4.8854178,0
4.8877427,0
4.8924656,0
4.8959428,0
4.8992239,0
4.9015489,0
4.9038718,0
4.9061968,0
4.9085197,0
4.9108426,0
4.9131676,0
4.9179446,0
4.9216217,0
4.924905,0
4.9272279,0
4.9295529,0
4.9318758,0
4.9341987,0
4.9365236,0
4.9388465,0
4.9411715,0
4.9434944,0
4.9458174,0
4.9481423,0
4.9504652,0
4.9527881,0
4.9574277,0
4.9610297,0
4.9642901,0
4.9666151,0
4.9714547,0
4.9786129,0
4.9832525,0
4.993842,0
5.0009982,0
5.0080877,0
5.0223085,0
5.0256147,0
5.0287355,0
5.0358855,0
5.0391417,0
5.0498208,0
5.0530541,0
5.0600853,0
5.0632895,0
5.0775039,0
5.0846351,0
5.0917642,0
5.1058579,0
5.1090787,0
5.1122682,0
5.1204724,0
5.1235744,0
5.128214,0
5.1313139,0
5.138416,0
5.1417284,0
5.1450639,0
5.1557846,0
5.1640054,0
5.1671762,0
5.1778136,0
5.1911489,0
5.1957906,0
5.2099092,0
5.2240008,0
5.2346945,0
5.2464361,0
5.2547902,0
5.2666692,0
5.2857045,0
5.2998253,0
5.307846,0
5.3148418,0
5.3179314,0
5.3212126,0
5.3245147,0
5.3326604,0
5.3375,0
5.345077,0
5.3498374,0
5.353252,0
5.3565874,0
5.3597457,0
5.3643873,0
5.3678935,0
5.3710893,0
5.3734143,0
5.3781768,0
5.3816247,0
5.3849997,0
5.3883455,0
5.3914913,0
5.3938142,0
5.3961392,0
5.3984621,0
5.400785,0
5.4031099,0
5.4054329,0
5.4077578,0
5.4100807,0
5.4124037,0
5.4147286,0
5.4170515,0
5.4193744,0
5.4216994,0
5.4240223,0
5.4263452,0
5.4286702,0
5.4309931,0
5.4333181,0
5.435641,0
5.4379639,0
5.4402888,0
5.4426118,0
5.4449346,0
5.4472596,0
5.4495826,0
5.4519075,0
5.4542304,0
5.4565533,0
5.4588783,0
5.4612012,0
5.4635241,0
5.4658491,0
5.468172,0
5.470497,0
5.4753386,0
5.4793198,0
5.4824636,0
5.4847865,0
5.4871114,0
5.4894343,0
5.4917573,0
5.4940822,0
5.498903,0
5.5028592,0
5.5061676,0
5.5103155,0
5.5126383,0
5.5149612,0
5.5172862,0
5.5196091,0
5.521932,0
5.524257,0
5.5265799,0
5.5289049,0
5.5338507,0
5.5379569,0
5.5411757,0
5.5434986,0
5.5458214,0
5.5481464,0
5.5504693,0
5.5527943,0
5.5551172,0
5.5574401,0
5.5597651,0
5.562088,0
5.5644109,0
5.5667359,0
5.5690588,0
5.5713838,0
5.5737067,0
5.5760296,0
5.5783546,0
5.5806775,0
5.5830004,0
5.5853253,0
5.5876482,0
5.5923357,0
5.5946607,0
5.5969836,0
5.5993065,0
5.6016315,0
5.6039544,0
5.6062793,0
5.6086022,0
5.6109251,0
5.6132501,0
5.6155731,0
5.6178959,0
5.620221,0
5.6225438,0
5.6248688,0
5.6271917,0
5.6295146,0
5.6318396,0
5.6341625,0
5.6364854,0
5.6388104,0
5.6411333,0
5.6466291,0
5.6508707,0
5.6531957,0
5.6555186,0
5.6578415,0
5.6601665,0
5.6624894,0
5.6648123,0
5.6702998,0
5.6745476,0
5.6793934,0
5.6817184,0
5.6840413,0
5.6863663,0
5.6886892,0
5.6910267,0
5.6933496,0
5.6956746,0
5.6979975,0
5.7034891,0
5.7075578,0
5.7098828,0
5.7122057,0
5.7145286,0
5.7168536,0
5.7191765,0
5.7214994,0
5.7238244,0
5.7261473,0
5.7284722,0
5.7308097,0
5.7331326,0
5.7354576,0
5.7377805,0
5.7401034,0
5.7424284,0
5.7447513,0
5.7470742,0
5.7493992,0
5.7517221,0
5.754047,0
5.7588825,0
5.7612054,0
5.7635283,0
5.7658532,0
5.7681761,0
5.7705011,0
5.772824,0
5.7751469,0
5.7774719,0
5.7797948,0
5.7821177,0
5.7844427,0
5.7867656,0
5.7891052,0
5.7914281,0
5.793751,0
5.7960759,0
5.7983988,0
5.8007238,0
5.8030467,0
5.8053696,0
5.8076946,0
5.8100175,0
5.8154925,0
5.8195633,0
5.8218862,0
5.8242091,0
5.826534,0
5.828857,0
5.8311799,0
5.8335049,0
5.8358277,0
5.8412485,0
5.8461339,0
5.8484589,0
5.8507818,0
5.8531047,0
5.8584255,0
5.8624567,0
5.8658234,0
5.8681463,0
5.8733671,0
5.8774004,0
5.8807732,0
5.8830961,0
5.8854211,0
5.887744,0
5.8900669,0
5.8923919,0
5.8947148,0
5.8970377,0
5.8993627,0
5.9016856,0
5.9040106,0
5.9063335,0
5.9086564,0
5.9109814,0
5.9133043,0
5.9156272,0
5.9179521,0
5.920275,0
5.9226,0
5.9274105,0
5.9297333,0
5.9320583,0
5.9343812,0
5.9367041,0
5.9390291,0
5.941352,0
5.9436749,0
5.9459999,0
5.9483228,0
5.9506478,0
5.9529707,0
5.9552935,0
5.9576185,0
5.9599414,0
5.9622664,0
5.9645893,0
5.9669122,0
5.9692372,0
5.9715601,0
5.973883,0
5.976208,0
5.9785309,0
5.9808559,0
5.986183,0
5.9904163,0
5.9927391,0
5.9950641,0
5.997387,0
5.999712,0
6.0020349,0
6.0043578,0
6.009114,0
6.0145307,0
6.0188577,0
6.0219035,0
6.0242264,0
6.0265493,0
6.0288743,0
6.0311972,0
6.0335201,0
6.0358451,0
6.038168,0
6.0433971,0
6.0475721,0
6.0527991,0
6.0569534,0
6.0600636,0
6.0651636,0
6.0691053,0
6.0724719,0
6.0747948,0
6.0771198,0
6.0794427,0
6.0817656,0
6.0840906,0
6.0864135,0
6.0887385,0
6.0931051,0
6.095428,0
6.0977509,0
6.1000759,0
6.1023988,0
6.1047238,0
6.1070466,0
6.1093696,0
6.1116945,0
6.1140174,0
6.1163404,0
6.1186653,0
6.1209882,0
6.1233132,0
6.1256361,0
6.127959,0
6.130284,0
6.1326069,0
6.1349298,0
6.1372548,0
6.1395777,0
6.1419026,0
6.1442256,0
6.1465485,0
6.1488735,0
6.1511963,0
6.1563484,0
6.1604255,0
6.1637379,0
6.1660608,0
6.1683859,0
6.1707087,0
6.1751837,0
6.1775087,0
6.1798316,0
6.184894,0
6.1891711,0
6.1924961,0
6.194819,0
6.1971439,0
6.1994668,0
6.2017897,0
6.2041147,0
6.2064376,0
6.2087605,0
6.2138605,0
6.2181855,0
6.2215125,0
6.2238354,0
6.2261583,0
6.2284833,0
6.2308062,0
6.2331291,0
6.2354541,0
6.237777,0
6.240102,0
6.2424249,0
6.2447478,0
6.2470728,0
6.2493957,0
6.2517186,0
6.2540435,0
6.2585727,0
6.2608956,0
6.2632206,0
6.2655435,0
6.2678664,0
6.2701914,0
6.2725142,0
6.2748371,0
6.2771621,0
6.279485,0
6.2847058,0
6.2887933,0
6.2921016,0
6.2944245,0
6.2967495,0
6.2990724,0
6.3013974,0
6.3037203,0
6.3060432,0
6.3083682,0
6.3106911,0
6.313014,0
6.3153389,0
6.3176618,0
6.3199868,0
6.3223097,0
6.3275535,0
6.3316138,0
6.3349638,0
6.3372867,0
6.3396117,0
6.3441513,0
6.3464741,0
6.3487991,0
6.3540533,0
6.3582595,0
6.361572,0
6.3638949,0
6.3662198,0
6.3714469,0
6.3756302,0
6.3788114,0
6.3839426,0
6.3881551,0
6.3913759,0
6.3937009,0
6.3960238,0
6.3983467,0
6.4006717,0
6.4029946,0
6.4053175,0
6.4076425,0
6.4099654,0
6.4122903,0
6.4146133,0
6.4169362,0
6.4192611,0
6.421584,0
6.4260549,0
6.4283777,0
6.4307027,0
6.4330256,0
6.4353506,0
6.4376735,0
6.4399964,0
6.4423214,0
6.4446443,0
6.4469693,0
6.4492922,0
6.4516151,0
6.45394,0
6.4562629,0
6.4585859,0
6.4609108,0
6.4632337,0
6.4655566,0
6.4678816,0
6.4702045,0
6.4725295,0
6.4748524,0
6.4771753,0
6.4795003,0
6.4818232,0
6.4841461,0
6.4864711,0
6.488794,0
6.491119,0
6.496321,0
6.5005898,0
6.5039189,0
6.5085022,0
6.5108251,0
6.5131501,0
6.5154729,0
6.5177958,0
6.5230604,0
6.5272771,0
6.5305083,0
6.5328332,0
6.5351561,0
6.5374791,0
6.539804,0
6.5421269,0
6.5444519,0
6.5467748,0
6.5520352,0
6.5560102,0
6.5594206,0
6.5617435,0
6.5640664,0
6.5663913,0
6.5687142,0
6.5710392,0
6.5733621,0
6.575685,0
6.57801,0
6.5803329,0
6.5826579,0
6.5849808,0
6.5873037,0
6.5918766,0
6.5941995,0
6.5965245,0
6.5988474,0
6.6011703,0
6.6034952,0
6.6058181,0
6.6081411,0
6.6104661,0
6.612789,0
6.6151118,0
6.6174368,0
6.6197597,0
6.6220847,0
6.6244076,0
6.6267305,0
6.6290555,0
6.6313784,0
6.6337034,0
6.6360263,0
6.6383492,0
6.6406741,0
6.642997,0
6.64532,0
6.6476449,0
6.6499678,0
6.6522907,0
6.6546157,0
6.6569386,0
6.6592636,0
6.6615865,0
6.6666469,0
6.6709428,0
6.6753676,0
6.6776905,0
6.6800135,0
6.6823385,0
6.6846613,0
6.6869842,0
6.6920863,0
6.6962988,0
6.6993529,0
6.7016758,0
6.7040008,0
6.7063237,0
6.7086487,0
6.7109716,0
6.7132945,0
6.7156194,0
6.7206382,0
6.7248277,0
6.7280819,0
6.7304069,0
6.7327298,0
6.7350527,0
6.7373777,0
6.7397005,0
6.7420255,0
6.7443484,0
6.7466713,0
6.7489963,0
6.7513192,0
6.7536421,0
6.7559671,0
6.7604068,0
6.7627296,0
6.7650524,0
6.7673774,0
6.7697003,0
6.7720253,0
6.7743482,0
6.7766711,0
6.7789961,0
6.781319,0
6.7836419,0
6.7859669,0
6.7882898,0
6.7906148,0
6.7929377,0
6.7952605,0
6.7975856,0
6.7999085,0
6.8022314,0
6.8045563,0
6.8068792,0
6.8092042,0
6.8115271,0
6.81385,0
6.816175,0
6.8184979,0
6.8208208,0
6.8231458,0
6.8254687,0
6.8277937,0
6.8301166,0
6.8324395,0
6.8375186,0
6.8417707,0
6.8460914,0
6.8484143,0
6.8507393,0
6.8530622,0
6.8553851,0
6.8577101,0
6.8627289,0
6.8668413,0
6.8701184,0
6.8724413,0
6.8747662,0
6.8798392,0
6.8839537,0
6.8889641,0
6.8930515,0
6.8962432,0
6.8985682,0
6.9008911,0
6.903216,0
6.905539,0
6.9078618,0
6.9101868,0
6.9125097,0
6.9148326,0
6.9171576,0
6.9194805,0
6.9218055,0
6.9261534,0
6.9284763,0
6.9308013,0
6.9331242,0
6.9354492,0
6.9377721,0
6.940095,0
6.9424199,0
6.9447428,0
6.9470657,0
6.9493907,0
6.9517136,0
6.9540386,0
6.9563615,0
6.9586844,0
6.9610094,0
6.9633323,0
6.9656552,0
6.9679802,0
6.9703031,0
6.9726281,0
6.974951,0
6.9772739,0
6.9795988,0
6.9819217,0
6.9842446,0
6.9865697,0
6.9888925,0
6.9912155,0
6.9935404,0
6.9958633,0
6.9981883,0
7.0005112,0
7.0028341,0
7.0079424,0
7.012382,0
7.0154861,0
7.017809,0
7.0201319,0
7.0224569,0
7.0247798,0
7.0271027,0
7.0321777,0
7.0362297,0
7.0395318,0
7.0418567,0
7.0441796,0
7.0465046,0
7.0488275,0
7.0511504,0
7.0534754,0
7.0585962,0
7.0626628,0
7.0659982,0
7.0683211,0
7.070644,0
7.072969,0
7.0752919,0
7.0776169,0
7.0799398,0
7.0822627,0
7.0845877,0
7.0869106,0
7.0892335,0
7.0937168,0
7.0960397,0
7.0983626,0
7.1006876,0
7.1030105,0
7.1053334,0
7.1076584,0
7.1099813,0
7.1123062,0
7.1146291,0
7.116952,0
7.119277,0
7.1215999,0
7.1239228,0
7.1262478,0
7.1285707,0
7.1308957,0
7.1332186,0
7.1355415,0
7.1378665,0
7.1401894,0
7.1425123,0
7.1448373,0
7.1471602,0
7.1494852,0
7.1518081,0
7.154131,0
7.1564559,0
7.1587788,0
7.1611017,0
7.1634267,0
7.1657496,0
7.1680746,0
7.1703975,0
7.1727204,0
7.1806037,0
7.1848328,0
7.1881307,0
7.1904557,0
7.1927786,0
7.1951015,0
7.1974265,0
7.2025931,0
7.206616,0
7.2099389,0
7.2122618,0
7.2145847,0
7.2169097,0
7.2192326,0
7.2215555,0
7.2238805,0
7.2290075,0
7.2331137,0
7.2363012,0
7.2386262,0
7.2409491,0
7.243272,0
7.245597,0
7.2479199,0
7.2502428,0
7.2525677,0
7.2548907,0
7.2593614,0
7.2616864,0
7.2640093,0
7.2663322,0
7.2686572,0
7.2709801,0
7.2733051,0
7.275628,0
7.2779509,0
7.2802759,0
7.2825988,0
7.2849238,0
7.2872467,0
7.2895696,0
7.2918946,0
7.2942175,0
7.2965404,0
7.2988653,0
7.3011883,0
7.3035112,0
7.3058361,0
7.308159,0
7.310484,0
7.3128069,0
7.3151298,0
7.3174548,0
7.3197777,0
7.3221006,0
7.3244256,0
7.3267485,0
7.3290735,0
7.3313964,0
7.3337192,0
7.3360443,0
7.3383671,0
7.3428046,0
7.3451275,0
7.3502566,0
7.3544692,0
7.3577462,0
7.3600691,0
7.3623941,0
7.364717,0
7.3670399,0
7.3721357,0
7.3761481,0
7.3795169,0
7.3818418,0
7.3841647,0
7.3864877,0
7.3888126,0
7.3911355,0
7.3934584,0
7.3985813,0
7.4025938,0
7.4058875,0
7.4082104,0
7.4105354,0
7.4128583,0
7.4151833,0
7.4175062,0
7.4198291,0
7.4221541,0
7.4264061,0
7.428729,0
7.431054,0
7.4360102,0
7.4398873,0
7.4432289,0
7.4455518,0
7.4504789,0
7.4545059,0
7.4576517,0
7.4599767,0
7.4622996,0
7.4646246,0
7.4669475,0
